,##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
4,35,"35 Green,Da'Ja",*,37,3-12,0-3,2-5,1-4,5,2,4,1,0,1,8
5,01,"01 Wanink,Chloe",*,37,1-6,1-3,0-0,1-6,7,1,0,1,0,0,3
6,32,"32 Harris,Alea",,7,1-4,0-2,0-0,1-2,3,0,0,0,0,0,2
7,02,"02 Lutz,Niyah",,6,1-4,0-2,0-0,0-1,1,0,0,0,0,0,2
8,21,"21 Tomlin,Alexis",,13,0-2,0-0,0-0,3-1,4,0,0,1,0,1,0
9,11,"11 Turner,MaryMartha",,9,0-3,0-1,0-0,1-3,4,2,0,1,0,0,0
10,20,"20 Pulanco,Elena",,3,0-0,0-0,0-0,0-0,0,1,0,0,0,0,0
11,23,"23 Cook,Lawren",,2,0-1,0-0,0-0,0-0,0,0,1,0,0,0,0
12,TM,TM TEAM,,0,0-0,0-0,0-0,3-4,7,0,0,2,0,0,0
13,,Totals,-,200,21-68,3-21,8-12,17-34,51,16,13,15,0,4,53
1,01,"01 Wanink,Chloe",*,40,5-8,5-6,4-4,1-4,5,0,1,0,0,1,19
2,14,"14 Hatton,Lilly",*,26,5-10,2-2,0-0,2-2,4,2,0,1,0,0,12
3,12,"12 McDavid,Jamari",*,27,5-9,0-1,0-0,2-4,6,1,1,0,0,2,10
4,35,"35 Green,Da'Ja",*,40,3-14,1-6,2-2,0-6,6,0,7,1,0,1,9
5,10,"10 Booker,Cairo",*,28,3-8,2-3,1-2,0-1,1,3,4,2,0,0,9
6,21,"21 Tomlin,Alexis",,12,2-4,0-0,1-2,1-2,3,1,2,2,0,0,5
7,02,"02 Lutz,Niyah",,10,2-4,1-2,0-0,0-1,1,1,0,0,0,1,5
8,23,"23 Cook,Lawren",,9,0-1,0-1,0-0,1-1,2,1,0,0,0,0,0
9,11,"11 Turner,MaryMartha",,5,0-0,0-0,0-0,0-0,0,1,1,0,0,0,0
10,32,"32 Harris,Alea",,3,0-1,0-1,0-0,0-0,0,0,0,1,0,0,0
11,TM,TM TEAM,,0,0-0,0-0,0-0,4-3,7,0,0,0,0,0,0
12,,Totals,-,200,25-59,11-22,8-10,11-24,35,10,16,7,0,5,69
1,35,"35 Green,Da'Ja",*,35,8-16,4-7,4-4,1-2,3,1,1,1,0,1,24
2,12,"12 McDavid,Jamari",*,19,7-9,0-0,1-2,3-6,9,2,2,0,0,0,15
3,10,"10 Booker,Cairo",*,38,5-10,2-4,2-2,1-2,3,1,6,0,0,4,14
4,14,"14 Hatton,Lilly",*,27,2-9,0-1,6-6,3-1,4,3,3,1,0,0,10
5,01,"01 Wanink,Chloe",*,18,4-6,1-3,0-0,0-1,1,0,0,0,0,1,9
6,23,"23 Cook,Lawren",,17,3-6,0-1,2-2,0-2,2,1,1,2,0,0,8
7,02,"02 Lutz,Niyah",,18,2-2,0-0,2-2,2-5,7,1,1,0,0,0,6
8,21,"21 Tomlin,Alexis",,10,0-2,0-0,0-0,0-2,2,4,1,0,0,0,0
9,32,"32 Harris,Alea",,7,0-3,0-1,0-0,1-0,1,0,0,0,0,0,0
10,11,"11 Turner,MaryMartha",,6,0-2,0-0,0-0,1-2,3,0,0,1,0,0,0
11,25,"25 Grob,Jamie",,3,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
12,20,"20 Pulanco,Elena",,2,0-1,0-0,0-0,0-0,0,0,0,0,0,0,0
13,TM,TM TEAM,,0,0-0,0-0,0-0,0-0,0,0,0,1,0,0,0
14,,Totals,-,200,31-66,7-17,17-18,12-23,35,13,15,6,0,6,86
1,02,"02 Lutz,Niyah",*,30,6-14,1-3,0-0,2-2,4,2,1,1,0,2,13
2,10,"10 Booker,Cairo",*,40,2-13,2-5,1-2,0-2,2,2,1,1,0,5,7
3,35,"35 Green,Da'Ja",*,40,2-15,1-6,2-2,2-3,5,1,4,1,0,1,7
4,23,"23 Cook,Lawren",*,27,2-5,1-2,2-2,1-4,5,3,0,1,0,2,7
5,25,"25 Grob,Jamie",*,15,1-3,0-0,1-2,2-1,3,2,1,0,0,0,3
6,14,"14 Hatton,Lilly",,21,2-5,1-1,0-0,1-5,6,3,0,1,0,0,5
7,11,"11 Turner,MaryMartha",,13,2-4,1-2,0-0,0-4,4,1,0,2,1,0,5
8,21,"21 Tomlin,Alexis",,4,0-1,0-0,2-2,2-0,2,3,0,2,0,1,2
9,32,"32 Harris,Alea",,10,0-1,0-1,0-0,0-1,1,0,0,0,0,0,0
10,04,"04 Pulanco,Elena",,0+,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
11,TM,TM TEAM,,0,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
12,,Totals,-,200,17-61,7-20,8-10,10-22,32,17,7,9,1,11,49
1,35,"35 Green,Da'Ja",*,40,4-10,1-5,2-3,3-1,4,1,1,2,0,2,11
2,02,"02 Lutz,Niyah",*,34,4-13,1-4,2-2,1-3,4,5,2,2,0,2,11
3,10,"10 Booker,Cairo",*,25,3-12,0-5,2-2,1-7,8,4,2,3,0,3,8
4,23,"23 Cook,Lawren",*,26,2-7,1-3,0-0,4-4,8,4,0,3,1,0,5
5,14,"14 Hatton,Lilly",*,21,1-5,0-2,0-0,4-2,6,2,0,0,1,1,2
6,21,"21 Tomlin,Alexis",,16,2-4,0-0,0-0,0-3,3,4,0,1,0,1,4
7,32,"32 Harris,Alea",,28,1-10,0-6,0-0,0-1,1,0,0,2,0,0,2
8,11,"11 Turner,MaryMartha",,3,1-1,0-0,0-0,0-0,0,0,0,0,0,0,2
9,25,"25 Grob,Jamie",,6,0-0,0-0,0-0,0-0,0,1,0,0,0,0,0
10,04,"04 Pulanco,Elena",,1,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
11,TM,TM TEAM,,0,0-0,0-0,0-0,1-1,2,0,0,0,0,0,0
12,,Totals,-,200,18-62,3-25,6-7,14-22,36,21,5,13,2,9,45
1,02,"02 Lutz,Niyah",*,37,7-14,3-7,2-7,2-5,7,1,1,0,0,1,19
2,14,"14 Hatton,Lilly",*,35,7-15,0-1,4-4,3-5,8,2,0,2,0,0,18
3,35,"35 Green,Da'Ja",*,40,2-5,2-4,2-2,1-5,6,0,3,2,0,1,8
4,10,"10 Booker,Cairo",*,33,3-12,2-6,0-2,2-3,5,3,3,3,0,0,8
5,23,"23 Cook,Lawren",*,30,2-7,0-2,4-5,7-4,11,4,2,3,1,0,8
6,32,"32 Harris,Alea",,10,1-1,0-0,1-3,0-0,0,1,0,1,0,0,3
7,21,"21 Tomlin,Alexis",,11,0-2,0-0,1-2,2-1,3,0,1,0,1,0,1
8,04,"04 Pulanco,Elena",,4,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
9,TM,TM TEAM,,0,0-0,0-0,0-0,2-3,5,0,0,0,0,0,0
10,,Totals,-,200,22-56,7-20,14-25,19-26,45,11,10,11,2,2,65
1,35,35 Da'Ja Green,*,40,7-11,5-7,4-6,0-0,0,5,3,1,0,1,23
2,10,10 Cairo Booker,*,35,5-12,2-6,2-2,1-3,4,3,3,4,0,2,14
3,14,14 Lilly Hatton,*,28,3-5,2-4,0-1,2-6,8,4,0,2,2,2,8
4,23,23 Lawren Cook,*,23,2-6,0-2,3-4,1-5,6,3,1,2,0,0,7
5,02,02 Niyah Lutz,*,39,1-10,0-7,0-2,0-4,4,2,2,2,1,0,2
6,21,21 Alexis Tomlin,,18,1-2,0-0,0-0,0-1,1,2,0,1,0,1,2
7,12,12 Jamari McDavid,,16,0-1,0-0,0-0,1-1,2,2,0,1,0,0,0
8,32,32 Alea Harris,,1,0-1,0-1,0-0,0-0,0,1,0,0,0,0,0
9,04,04 Elena Pulanco,,0+,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
10,TM,TM TEAM,,0,0-0,0-0,0-0,1-3,4,0,0,0,0,0,0
11,,Totals,-,200,19-48,9-27,9-15,6-23,29,22,9,13,3,6,56
