,##,Player,GS,MIN,FG,3PT,FT,ORB-DRB,REB,PF,A,TO,BLK,STL,PTS
4,14,"14 Hatton,Lilly",*,21,4-6,0-0,0-1,1-5,6,3,1,1,0,0,8
5,12,"12 McDavid,Jamari",*,22,3-8,0-0,0-0,1-3,4,0,0,1,0,1,6
6,02,"02 Lutz,Niyah",,14,3-4,1-1,0-0,0-0,0,0,2,1,0,1,7
7,25,"25 Grob,Jamie",,5,1-2,0-0,0-0,2-2,4,0,1,1,0,0,2
8,21,"21 Tomlin,Alexis",,12,0-1,0-0,0-0,0-2,2,4,1,0,1,1,0
9,11,"11 Turner,MaryMartha",,10,0-2,0-0,0-2,1-1,2,2,1,0,1,0,0
10,23,"23 Cook,Lawren",,10,0-0,0-0,0-2,1-3,4,1,0,1,0,0,0
11,20,"20 Pulanco,Elena",,6,0-1,0-0,0-0,0-0,0,0,1,1,0,2,0
12,TM,TM TEAM,,0,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
13,,Totals,-,200,31-65,5-10,12-20,13-24,37,11,14,14,2,13,79
1,01,"01 Wanink,Chloe",*,34,6-9,1-2,2-2,0-2,2,0,1,2,0,2,15
2,10,"10 Booker,Cairo",*,31,4-12,2-4,1-2,0-2,2,2,1,5,0,3,11
3,12,"12 McDavid,Jamari",*,26,3-8,0-0,1-2,4-4,8,4,0,2,0,0,7
4,35,"35 Green,Da'Ja",*,32,1-7,0-2,4-9,0-2,2,2,3,1,0,2,6
5,14,"14 Hatton,Lilly",*,21,1-3,0-0,0-0,2-3,5,2,1,1,1,0,2
6,02,"02 Lutz,Niyah",,10,3-5,1-1,0-0,0-0,0,1,0,2,0,0,7
7,21,"21 Tomlin,Alexis",,15,1-2,0-0,2-2,1-3,4,2,0,0,0,1,4
8,04,"04 Pulanco,Elena",,8,1-1,1-1,0-0,1-1,2,1,1,2,0,1,3
9,32,"32 Harris,Alea",,5,1-2,1-2,0-0,0-0,0,0,1,1,0,0,3
10,25,"25 Grob,Jamie",,4,1-1,0-0,0-0,0-0,0,1,0,0,0,0,2
11,23,"23 Cook,Lawren",,11,0-1,0-0,0-0,0-0,0,5,0,2,0,0,0
12,11,"11 Turner,MaryMartha",,3,0-0,0-0,0-0,0-1,1,0,1,0,0,0,0
13,TM,TM TEAM,,0,0-0,0-0,0-0,2-1,3,0,0,0,0,0,0
14,,Totals,-,200,22-51,6-12,10-17,10-19,29,20,9,18,1,9,60
1,01,"01 Wanink,Chloe",*,40,6-9,4-5,3-4,0-3,3,0,3,1,0,0,19
2,12,"12 McDavid,Jamari",*,32,8-13,0-0,0-0,5-5,10,1,1,1,0,2,16
3,14,"14 Hatton,Lilly",*,30,7-9,1-1,0-0,0-5,5,3,0,2,4,2,15
4,35,"35 Green,Da'Ja",*,36,3-9,3-6,1-2,0-5,5,2,9,1,0,0,10
5,10,"10 Booker,Cairo",*,19,0-7,0-0,0-0,0-0,0,4,5,2,0,1,0
6,21,"21 Tomlin,Alexis",,10,2-2,0-0,0-1,1-1,2,0,0,0,0,0,4
7,02,"02 Lutz,Niyah",,25,1-6,1-3,0-0,0-5,5,1,1,2,0,2,3
8,20,"20 Pulanco,Elena",,4,0-0,0-0,0-0,0-0,0,2,0,0,0,0,0
9,23,"23 Cook,Lawren",,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
10,32,"32 Harris,Alea",,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
11,TM,TM TEAM,,0,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
12,,Totals,-,200,27-55,9-15,4-7,6-24,30,13,19,9,4,7,67
1,35,"35 Green,Da'Ja",*,37,9-15,3-5,3-3,4-6,10,1,2,4,0,0,24
2,10,"10 Booker,Cairo",*,29,3-12,1-3,2-2,2-2,4,2,3,4,0,3,9
3,01,"01 Wanink,Chloe",*,37,2-11,1-5,1-2,0-2,2,4,1,2,1,2,6
4,14,"14 Hatton,Lilly",*,17,3-7,0-0,0-0,2-2,4,5,1,2,1,0,6
5,12,"12 McDavid,Jamari",*,28,2-7,0-0,1-2,1-1,2,2,1,1,0,2,5
6,02,"02 Lutz,Niyah",,16,2-4,0-1,0-0,0-1,1,4,1,3,0,0,4
7,21,"21 Tomlin,Alexis",,18,1-4,0-0,1-2,3-2,5,2,1,2,1,0,3
8,11,"11 Turner,MaryMartha",,5,0-1,0-1,0-0,0-3,3,2,0,1,1,0,0
9,25,"25 Grob,Jamie",,4,0-0,0-0,0-0,0-0,0,0,1,1,0,0,0
10,32,"32 Harris,Alea",,4,0-1,0-1,0-0,0-0,0,1,0,1,0,0,0
11,20,"20 Pulanco,Elena",,3,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
12,23,"23 Cook,Lawren",,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
13,TM,TM TEAM,,0,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
14,,Totals,-,200,22-62,5-16,8-11,12-19,31,23,11,21,4,7,57
1,35,"35 Green,Da'Ja",*,28,6-16,2-6,2-4,1-2,3,4,6,1,0,1,16
2,01,"01 Wanink,Chloe",*,38,6-11,1-2,2-2,0-4,4,1,0,1,0,1,15
3,14,"14 Hatton,Lilly",*,21,3-11,0-0,0-0,2-3,5,2,1,1,1,2,6
4,10,"10 Booker,Cairo",*,13,1-4,0-1,2-2,0-1,1,4,2,2,0,2,4
5,12,"12 McDavid,Jamari",*,18,1-5,0-1,0-0,3-2,5,0,0,2,0,0,2
6,21,"21 Tomlin,Alexis",,9,1-3,0-0,4-4,2-1,3,2,0,0,0,0,6
7,02,"02 Lutz,Niyah",,25,1-6,0-2,0-0,1-3,4,0,0,1,0,1,2
8,11,"11 Turner,MaryMartha",,7,0-0,0-0,0-0,0-5,5,0,0,1,0,1,0
9,23,"23 Cook,Lawren",,5,0-3,0-1,0-0,0-0,0,0,0,0,0,0,0
10,32,"32 Harris,Alea",,4,0-2,0-1,0-0,0-0,0,0,0,0,0,0,0
11,20,"20 Pulanco,Elena",,2,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
12,25,"25 Grob,Jamie",,0+,0-0,0-0,0-0,0-0,0,0,0,1,0,0,0
13,TM,TM TEAM,,0,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
14,,Totals,-,170,19-61,3-14,10-12,9-21,30,13,9,10,1,8,51
1,12,"12 McDavid,Jamari",*,13,8-9,1-1,0-0,2-2,4,0,0,1,0,1,17
2,01,"01 Wanink,Chloe",*,15,5-9,3-5,0-0,0-1,1,0,1,0,0,1,13
3,35,"35 Green,Da'Ja",*,15,3-6,1-2,0-0,1-2,3,0,4,0,0,0,7
4,10,"10 Booker,Cairo",*,15,1-3,1-3,0-0,0-1,1,0,3,0,0,4,3
5,14,"14 Hatton,Lilly",*,13,1-5,0-2,0-0,1-6,7,0,0,0,2,0,2
6,32,"32 Harris,Alea",,24,7-13,3-7,4-4,1-1,2,1,2,3,0,2,21
7,02,"02 Lutz,Niyah",,24,4-12,2-6,0-0,5-5,10,1,2,1,0,5,10
8,21,"21 Tomlin,Alexis",,14,3-7,0-0,2-2,5-1,6,2,2,0,0,1,8
9,20,"20 Pulanco,Elena",,25,1-4,0-2,2-4,1-3,4,0,2,1,0,6,4
10,11,"11 Turner,MaryMartha",,13,1-7,0-1,0-0,1-3,4,1,0,0,0,0,2
11,25,"25 Grob,Jamie",,12,1-2,0-0,0-0,1-2,3,0,0,0,0,0,2
12,23,"23 Cook,Lawren",,17,0-3,0-1,0-0,1-1,2,5,0,1,1,2,0
13,TM,TM TEAM,,0,0-0,0-0,0-0,0-0,0,0,0,2,0,0,0
14,,Totals,-,200,35-80,11-30,8-10,19-28,47,10,16,9,3,22,89
1,35,"35 Green,Da'Ja",*,33,9-12,4-5,3-3,1-1,2,2,2,2,0,0,25
2,01,"01 Wanink,Chloe",*,32,9-14,2-5,4-4,0-2,2,1,2,0,0,2,24
3,12,"12 McDavid,Jamari",*,28,5-10,0-1,2-2,2-6,8,3,0,0,0,2,12
4,10,"10 Booker,Cairo",*,31,2-11,1-5,0-0,0-2,2,2,2,0,0,5,5
5,14,"14 Hatton,Lilly",*,17,1-2,0-0,2-2,4-2,6,3,0,0,4,0,4
6,23,"23 Cook,Lawren",,2,0-0,0-0,3-4,0-0,0,0,0,0,0,0,3
7,21,"21 Tomlin,Alexis",,19,1-6,0-0,0-0,1-3,4,1,0,1,1,0,2
8,11,"11 Turner,MaryMartha",,12,0-0,0-0,0-0,0-0,0,2,0,1,1,0,0
9,32,"32 Harris,Alea",,11,0-1,0-1,0-0,0-1,1,0,3,1,0,2,0
10,02,"02 Lutz,Niyah",,7,0-1,0-1,0-0,0-0,0,0,0,1,0,1,0
11,20,"20 Pulanco,Elena",,4,0-0,0-0,0-0,0-0,0,0,0,0,0,1,0
12,25,"25 Grob,Jamie",,4,0-1,0-0,0-0,0-2,2,1,0,0,0,0,0
13,TM,TM TEAM,,0,0-0,0-0,0-0,0-0,0,0,0,2,0,0,0
14,,Totals,-,200,27-58,7-18,14-15,8-19,27,15,9,8,6,13,75
1,01,"01 Wanink,Chloe",*,33,14-22,7-13,4-4,1-2,3,1,2,1,0,2,39
2,21,"21 Tomlin,Alexis",*,28,8-12,0-0,3-5,5-8,13,1,1,0,2,0,19
3,35,"35 Green,Da'Ja",*,38,5-13,3-7,1-1,0-2,2,1,11,3,0,0,14
4,12,"12 McDavid,Jamari",*,24,3-5,0-1,1-2,4-6,10,0,1,0,0,0,7
5,10,"10 Booker,Cairo",*,20,1-6,0-3,4-4,1-3,4,3,2,1,0,1,6
6,23,"23 Cook,Lawren",,27,3-8,2-2,2-4,4-6,10,2,0,3,0,2,10
7,20,"20 Pulanco,Elena",,30,1-2,0-1,3-6,3-5,8,1,5,2,1,4,5
8,TM,TM TEAM,,0,0-0,0-0,0-0,0-0,0,0,0,0,0,0,0
9,,Totals,-,200,35-68,12-27,18-26,18-32,50,9,22,10,3,9,100
1,12,"12 McDavid,Jamari",*,23,8-10,0-0,0-0,2-1,3,5,2,2,0,1,16
2,35,"35 Green,Da'Ja",*,39,6-19,3-10,0-2,3-3,6,1,8,0,0,1,15
3,01,"01 Wanink,Chloe",*,35,5-14,3-7,2-2,1-2,3,3,0,1,0,0,15
4,14,"14 Hatton,Lilly",*,22,4-9,0-1,1-1,0-6,6,4,2,3,4,1,9
5,10,"10 Booker,Cairo",*,35,3-14,0-5,0-0,2-2,4,2,5,0,0,0,6
6,02,"02 Lutz,Niyah",,10,3-3,1-1,0-0,0-2,2,2,0,1,0,1,7
7,23,"23 Cook,Lawren",,10,1-4,0-1,0-0,1-2,3,3,0,0,0,0,2
8,32,"32 Harris,Alea",,8,1-1,0-0,0-0,0-0,0,0,0,0,0,0,2
9,21,"21 Tomlin,Alexis",,11,0-3,0-0,0-0,0-3,3,1,0,0,0,0,0
10,25,"25 Grob,Jamie",,7,0-1,0-0,0-0,0-3,3,1,0,0,0,0,0
11,TM,TM TEAM,,0,0-0,0-0,0-0,1-1,2,0,0,0,0,0,0
12,,Totals,-,200,31-78,7-25,3-5,10-25,35,22,17,7,4,4,72
1,12,"12 McDavid,Jamari",*,31,5-7,1-1,2-2,5-4,9,0,2,3,1,2,13
2,01,"01 Wanink,Chloe",*,28,4-16,3-10,0-0,2-2,4,2,0,0,0,4,11
3,14,"14 Hatton,Lilly",*,17,4-7,1-2,0-0,2-4,6,3,0,1,0,0,9
4,35,"35 Green,Da'Ja",*,30,3-16,2-9,0-0,0-4,4,3,7,3,0,0,8
5,10,"10 Booker,Cairo",*,27,2-7,1-2,3-6,0-2,2,2,4,4,1,3,8
6,32,"32 Harris,Alea",,14,2-5,2-3,0-0,0-0,0,1,0,2,0,2,6
